FunID1,FunID2
8425181,22670948
5967901,8917652
5967901,8917651
4672830,8071138
11540200,23597499
4612220,20954717
4612220,13122191
4612220,16142024
4612220,17477951
4721547,5869954
3024992,3024993
3024982,3024993
3024972,3024993
3024981,3024993
3024979,3024993
3024978,3024993
15193,20514481
10369570,20514481
9265781,20514481
635006,20514481
20514481,23484507
11066055,20514481
6419481,20514481
670011,20514481
1704751,20514481
17534703,20514481
18293811,20514481
7976872,20514481
302936,20514481
13325917,20514481
5055545,20514481
13812091,20514481
8801436,20514481
19993993,20514481
9109613,20514481
1048665,20514481
20514481,22712288
14647876,20514481
9499457,20514481
1490117,14230405
14230405,19685311
7143272,14230405
10899860,14230405
5656506,14230405
11213172,14230405
14230405,23066956
14230405,21247844
10131427,14230405
14230405,22434268
6527977,14230405
1896089,14230405
3673887,14230405
6399107,14230405
10318446,14230405
14230405,14702119
14230405,23658098
2575374,14230405
6856298,14230405
11370967,14230405
14230405,14598566
3672328,14230405
14230405,23058336
1913136,14230405
14230405,18613870
14230405,15034107
14230405,14988339
14230405,18504192
14230405,19582152
14230405,19290859
14230405,17557289
14230405,16706229
14230405,16098010
5297820,14230405
14230405,20082006
14230405,18542300
9840907,14230405
14230405,16166059
14230405,21308543
8106130,14230405
14230405,17857284
4716110,14230405
14168494,14230405
14129929,14230405
14230405,18457132
1613935,9766481
9766481,14284540
2668863,4623012
2668853,4623012
4623012,5751313
4623012,5751314
3613198,7911686
3078767,3613198
3613198,23130941
3613198,20128728
3236017,3613198
3613198,3959503
3613198,11044947
3613198,8980221
3613198,22410173
3613198,15768167
3613198,17927694
3613198,5822585
3613198,23294396
3577507,3613198
3613198,20091126
17891160,17891162
17891160,18492103
1158842,1158843
1158840,1158843
1158841,1158843
5832949,11723383
9261775,18583832
9261775,20822727
9261775,12973146
9261775,11358169
8273324,17467778
8219191,17467778
17467778,19141604
10695600,17467778
3061454,17467778
884867,912653
2668863,8793826
2668853,8793826
5751313,8793826
5751314,8793826
924033,23247734
2668863,18623183
2668853,18623183
5751313,18623183
5751314,18623183
10959933,19691919
5086587,10689659
5086587,19442138
5086587,6693221
5086587,12473411
5086587,20368648
3667136,5086587
5086587,23494305
5086587,10826994
5086587,9525318
5086587,15924093
1863214,5086587
5086587,21425787
5086587,20036910
5086587,23574216
5086587,10415388
5086587,10671994
5086587,22424633
5086587,8843442
1639107,15588201
15588201,22556551
18034383,19883483
18310878,19883483
1624010,19883483
19883483,20372195
19483244,19883483
3325456,19883483
8489742,19883483
18748516,19883483
19883483,22221713
10942052,19883483
3318214,19883483
11701818,17638222
11701818,16733950
8258909,22306604
16540473,22306604
22271237,22306604
3597316,22306604
4336715,22306604
657801,22306604
14502142,22306604
12524506,22306604
266990,22306604
8117216,22306604
13289545,22306604
19849797,22306604
21177597,22306604
22306604,22403259
17439818,22306604
18536907,22306604
11986970,22306604
10067028,22306604
19926877,22306604
4385640,22306604
14624031,22306604
20691789,22306604
19134229,22306604
22306604,23069799
14736188,22306604
12971450,22306604
20725036,22306604
18741084,22306604
12328424,22306604
17097179,22306604
5090669,22306604
3419825,22306604
20085210,22306604
7990222,7990229
15193,10369570
15193,9265781
15193,635006
15193,23484507
15193,11066055
15193,18850012
15193,6419481
15193,670011
15193,1704751
15193,17534703
15193,8481623
15193,18293811
15193,7976872
15193,302936
15193,5055545
15193,13812091
15193,20898459
15193,8801436
15193,19993993
15193,9109613
15193,1048665
15193,22712288
15193,14647876
15193,9499457
10177661,18397102
6031248,7911686
3078767,6031248
6031248,16529002
3959503,6031248
6031248,13783549
1477578,6031248
6031248,8980221
6031248,22410173
6031248,15768167
6031248,15527452
6031248,22919520
3584277,6031248
6031248,13335071
6031248,17727663
6031248,14840321
21125261,22807014
22948959,23630686
4020497,23630686
6233042,7227024
6233042,8801744
5148212,6233042
6233042,10006681
1158840,1158842
1158841,1158842
2668863,8625346
2668853,8625346
5751313,8625346
5751314,8625346
2362445,7911686
2362445,3078767
2362445,23130941
2362445,20128728
2362445,3236017
2362445,3959503
2362445,11044947
2362445,8980221
2362445,22410173
2362445,15768167
2362445,17927694
2362445,5822585
2362445,23294396
2362445,3577507
2362445,20091126
22135200,22135201
22135198,22135200
22135199,22135200
9604062,22501706
8273323,9604062
983036,9604062
3978710,9604062
7019244,9604062
9604062,19141603
8219190,9604062
9604062,10695599
8330064,8330065
17212288,17415423
3493991,22501706
3493991,8273323
983036,3493991
3493991,3978710
3493991,7019244
3493991,19141603
3493991,8219190
3493991,10695599
4382405,18536907
4382405,10067028
4382405,19926877
4382405,14736188
4382405,12971450
7872667,7872668
3078767,7911686
7911686,20654105
7911686,23130941
2825450,7911686
7911686,16324741
7911686,20544327
6188784,7911686
7911686,15461843
3236017,7911686
3959503,7911686
7911686,12232011
3239010,7911686
7911686,23390255
7911686,20806023
7911686,17638222
7237618,7911686
7911686,13121131
7911686,20310134
7911686,8980221
7911686,23596949
7911686,17984312
7911686,14311145
7911686,22410173
7911686,9325670
6319887,7911686
7911686,11993046
7911686,14876163
7911686,15831694
2418918,7911686
7911686,21285620
978946,7911686
7911686,17927694
6980854,7911686
7911686,23613195
7911686,10565544
7911686,11066056
7911686,22919520
7911686,16733950
3584277,7911686
7911686,12728035
7911686,21457925
3577507,7911686
7911686,13396233
1424647,7911686
13741605,23071780
6214331,23071780
13122191,23071780
3667135,23071780
616102,23071780
11050195,23071780
17156131,23071780
23036596,23071780
17477951,23071780
3078767,20654105
2825450,3078767
3078767,16324741
3078767,6959224
3078767,20544327
3078767,6188784
3078767,15461843
3078767,3236017
3078767,12232011
3078767,3239010
3078767,13783549
3078767,23390255
3078767,20806023
3078767,7237618
1477578,3078767
3078767,13121131
3078767,20310134
3078767,23596949
3078767,17984312
3078767,15768167
3078767,9325670
3078767,6319887
3078767,11993046
3078767,14876163
3078767,15831694
2418918,3078767
3078767,21285620
978946,3078767
3078767,17927694
3078767,6980854
3078767,23613195
3078767,11066056
3078767,22919520
3078767,3584277
3078767,12728035
3078767,21457925
3078767,13396233
1424647,3078767
3078767,17727663
3078767,14840321
20654105,23130941
20128728,20654105
3236017,20654105
3959503,20654105
11044947,20654105
8980221,20654105
20654105,22410173
15768167,20654105
17927694,20654105
5822585,20654105
20654105,23294396
3577507,20654105
20091126,20654105
1490117,19685311
1490117,7143272
1490117,10899860
1490117,5656506
1490117,14729256
1490117,23066956
1490117,21247844
1490117,10131427
1490117,22434268
1490117,6527977
1490117,1896089
1490117,3673887
1490117,6399107
1490117,10318446
1490117,14702119
1490117,2199598
1490117,23658098
1490117,2575374
1490117,11370967
1490117,14598566
1490117,3672328
1490117,23058336
1490117,9186576
1490117,10797051
1490117,1913136
1490117,14988339
1490117,18504192
1490117,19582152
1490117,19290859
1490117,17557289
1490117,16706229
1490117,16098010
1490117,5297820
1490117,20082006
1490117,18542300
1490117,9840907
1490117,16166059
1490117,8106130
1490117,17857284
1490117,4716110
1490117,14168494
1490117,14129929
6704750,19351243
2906491,6704750
10207808,10207809
20544327,23130941
19868933,23130941
2252378,23130941
15461843,23130941
3236017,23130941
1663419,23130941
12232011,23130941
3239010,23130941
23130941,23390255
20806023,23130941
7237618,23130941
17551461,23130941
14763206,23130941
11044947,23130941
13121131,23130941
21374275,23130941
1037968,23130941
20310134,23130941
17984312,23130941
15768167,23130941
6319887,23130941
22137915,23130941
14876163,23130941
15831694,23130941
20870396,23130941
21285620,23130941
978946,23130941
17927694,23130941
10565544,23130941
11066056,23130941
12728035,23130941
21457925,23130941
20091126,23130941
13396233,23130941
9756057,23130941
1769771,23130941
3108499,23130941
367770,2668863
367770,2668853
367770,5751313
367770,5751314
2668863,14317425
2668853,14317425
5751313,14317425
5751314,14317425
947406,12222321
5498222,23252484
5498222,10601019
5498222,10368839
5498222,16924659
5498222,18600879
5498222,17791385
5498222,5523389
5498222,9592646
2538511,5498222
5498222,13834118
5498222,10878062
970144,19360483
10685269,19549489
19549489,21247844
10131427,19549489
6527977,19549489
1896089,19549489
14702119,19549489
2575374,19549489
11730227,19549489
14598566,19549489
19549489,23058336
10656323,19549489
16098010,19549489
8389315,19549489
5297820,19549489
19549489,20082006
10169905,19549489
4716110,19549489
8258909,9696025
2069219,8258909
8258909,13924908
228212,8258909
8258909,17439818
8258909,20691789
8258909,19134229
8258909,10478671
288695,8258909
7678253,8258909
3058818,17871427
3024985,3024992
3024982,3024985
3024972,3024985
3024981,3024985
3024971,3024985
3024979,3024985
3024978,3024985
2521140,9265781
2521140,2521141
2521140,8481623
2521140,8801436
6214331,20954717
13122191,20954717
3667135,20954717
17477951,20954717
8273324,16458722
8273324,8805649
8273324,9604063
4193496,8273324
5102753,8273324
983037,8273324
3978711,8273324
7019245,8273324
2668863,18269745
2668853,18269745
5751313,18269745
5751314,18269745
2325202,16995204
15295408,23370708
1983098,20681845
20681845,22743765
12903179,16540473
12524506,16540473
16540473,22301096
7034031,16540473
16540473,18536907
10067028,16540473
16540473,19926877
11517213,16540473
14736188,16540473
12971450,16540473
16540473,19247466
10391639,16540473
7678253,16540473
16540473,16987999
2825450,16529002
2825450,3959503
2825450,13783549
1477578,2825450
2825450,8980221
2825450,22410173
2825450,15768167
2825450,15527452
2825450,22919520
2825450,3584277
2825450,13335071
2825450,17727663
2825450,14840321
8135072,8352957
8135072,8352956
9696025,17439818
9696025,20691789
9696025,19134229
9696025,17573230
9265781,10369570
635006,10369570
10369570,23484507
