FunID1,FunID2
8425181,12440169
4612220,10353862
616102,4612220
4612220,23525479
4612220,19710610
4612220,11103539
4612220,8490297
3024985,3024993
3024988,3024993
17241450,23071780
10893111,17241450
11050195,17241450
17241450,23036596
9805906,17241450
2521140,20514481
2521141,20514481
20514481,20661433
14230405,14729256
14230405,16464790
2199598,14230405
14230405,19442138
14230405,21585794
14230405,19117993
9186576,14230405
10656323,14230405
11277510,14230405
8389315,14230405
14230405,15924093
1863214,14230405
3462669,14230405
10169905,14230405
14230405,18991846
9766481,14896033
3613198,21967215
3613198,4684601
3613198,6865572
3613198,20741536
3613198,14808281
3613198,7380658
3584277,3613198
17467778,22587634
7990222,22587634
8273324,22587634
16458722,22587634
8219191,22587634
19141604,22587634
22587634,22674365
8805649,22587634
9604063,22587634
4193496,22587634
13884047,22587634
9845518,22587634
5102753,22587634
983037,22587634
3978711,22587634
7019245,22587634
10695600,22587634
3061454,22587634
6501291,11070888
9261775,9261777
7309170,9261775
9261775,21907869
6597127,17467778
15376871,17467778
6302320,17467778
13603290,17467778
13233956,17467778
1111286,17467778
924033,23294175
7315828,8544627
5086587,11145818
5086587,11213172
5086587,5638421
5086587,19117993
5086587,13212350
5086587,18115173
5086587,13891080
5086587,18974466
5086587,6226270
9236363,16572931
9236363,9869150
9236362,9236363
3667135,15588201
13595251,15588201
12980227,15588201
13290531,15588201
19883483,23252484
616102,19883483
14783945,19883483
18600879,19883483
10089329,19883483
18142979,19883483
6291471,19883483
9592646,19883483
2107034,19883483
2538511,19883483
10878062,19883483
11701818,22301096
11701818,13783549
4579205,11701818
11701818,22919520
11701818,17727663
4382405,22306604
9696025,22306604
13955716,22306604
13351384,22306604
2069219,22306604
13521323,22306604
14284540,22306604
11517213,22306604
14164924,22306604
22306604,23666867
6597127,7990222
7990222,22674365
7990222,15376871
7990222,13884047
7990222,9845518
8085500,20012017
5375385,20012017
16930290,20012017
4644121,20012017
12693284,20012017
4644122,20012017
15193,2521140
15193,2521141
15193,13325917
4382405,6031248
3236017,6031248
6031248,17638222
6031248,10067028
6031248,20886787
6031248,14736188
6031248,16733950
6031248,9597889
6031248,18371114
1639107,23630686
22556551,23630686
19309971,23630686
9221947,23630686
2362445,21967215
2362445,4684601
2362445,6865572
2362445,20741536
2362445,14808281
2362445,7380658
2362445,3584277
3672078,9604062
10536444,12384825
1824914,12384825
228212,17212288
288695,17212288
3493991,3672078
4382405,16540473
2825450,4382405
4382405,21967215
4382405,22271237
4382405,16324741
4382405,4684601
4382405,6959224
3597316,4382405
4336715,4382405
4382405,14502142
4382405,12524506
266990,4382405
4382405,6188784
4382405,6865572
4382405,16529002
4382405,22301096
4382405,14808281
4382405,8117216
4382405,13783549
4382405,13289545
4382405,19849797
4382405,21177597
1477578,4382405
4382405,22403259
4382405,11986970
4382405,23596949
4382405,4385640
4382405,9325670
4382405,7380658
4382405,11993046
2418918,4382405
4382405,15527452
4382405,23069799
4382405,6980854
4382405,23613195
4382405,20725036
4382405,22919520
4382405,18741084
4382405,12328424
4382405,23666867
4382405,17097179
4382405,5090669
3419825,4382405
4382405,13335071
4382405,20085210
1424647,4382405
4382405,17727663
4382405,14840321
7911686,12222321
7911686,20128728
6959224,7911686
7911686,19868933
2252378,7911686
1663419,7911686
4579205,7911686
1477578,7911686
7911686,17551461
7911686,18536907
7911686,14763206
7911686,11044947
7911686,21374275
1037968,7911686
7911686,22137915
7911686,20870396
7911686,12971450
5822585,7911686
7911686,20091126
7911686,9756057
1769771,7911686
7911686,14840321
3108499,7911686
2852141,23071780
